timestamp,bear,cyclist,fox,reindeer,robot,santa
2026-04-21 14:48:04.139433,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-21 14:48:05.541616,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-21 14:48:06.546591,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-21 14:48:07.552919,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-21 14:48:08.614282,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-21 14:48:09.619087,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-21 14:48:10.624099,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-21 14:48:11.628408,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-21 14:48:12.705116,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-21 14:48:13.710951,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-21 14:48:14.717105,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-21 14:48:15.721572,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-21 14:48:17.009507,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-21 14:48:18.016219,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-21 14:48:19.020666,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-21 14:48:20.026224,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-21 14:48:21.034092,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-21 14:48:22.280646,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-21 14:48:23.285598,0.0,0.0,0.0,0.0,0.0,0.0
